DATE,TIME,OPEN,HIGH,LOW,CLOSE,TICKVOL,VOL,SPREAD
2025.10.29,17:24:00,1.16412,1.16416,1.16406,1.16407,54,0,0
2025.10.29,17:25:00,1.16406,1.16437,1.16403,1.16437,85,0,0
2025.10.29,17:26:00,1.16436,1.16449,1.16436,1.16447,46,0,0
2025.10.29,17:27:00,1.16445,1.16449,1.16444,1.16446,39,0,0
2025.10.29,17:28:00,1.16445,1.16446,1.16436,1.16441,84,0,0
2025.10.29,17:29:00,1.1644,1.16442,1.16436,1.16437,44,0,0
2025.10.29,17:30:00,1.16436,1.16444,1.16429,1.16431,94,0,0
2025.10.29,17:31:00,1.1643,1.16446,1.16429,1.16439,86,0,1
2025.10.29,17:32:00,1.1644,1.16448,1.16432,1.16447,54,0,0
2025.10.29,17:33:00,1.16448,1.16449,1.16429,1.16431,59,0,1
2025.10.29,17:34:00,1.16432,1.16436,1.16426,1.16428,78,0,0
2025.10.29,17:35:00,1.16429,1.16431,1.16421,1.1643,70,0,0
2025.10.29,17:36:00,1.16431,1.16431,1.16416,1.16419,52,0,0
2025.10.29,17:37:00,1.1642,1.16429,1.1642,1.16427,44,0,0
2025.10.29,17:38:00,1.16426,1.16436,1.16425,1.16436,69,0,0
2025.10.29,17:39:00,1.16435,1.16448,1.16435,1.16443,36,0,0
2025.10.29,17:40:00,1.16442,1.16446,1.16439,1.16441,51,0,0
2025.10.29,17:41:00,1.16443,1.16446,1.16439,1.1644,49,0,0
2025.10.29,17:42:00,1.16441,1.16449,1.16441,1.16446,42,0,0
2025.10.29,17:43:00,1.16445,1.16451,1.16441,1.16445,38,0,0
2025.10.29,17:44:00,1.16446,1.16449,1.16431,1.16434,48,0,0
2025.10.29,17:45:00,1.16435,1.1644,1.16426,1.16426,37,0,1
2025.10.29,17:46:00,1.16425,1.16445,1.16425,1.16439,65,0,0
2025.10.29,17:47:00,1.16438,1.16441,1.16434,1.1644,41,0,1
2025.10.29,17:48:00,1.16439,1.16445,1.16433,1.16441,42,0,0
2025.10.29,17:49:00,1.1644,1.16441,1.16434,1.16436,27,0,0
2025.10.29,17:50:00,1.16435,1.16436,1.16429,1.16435,28,0,0
2025.10.29,17:51:00,1.16432,1.16448,1.1643,1.16435,52,0,0
2025.10.29,17:52:00,1.1643,1.1643,1.16424,1.16425,27,0,0
2025.10.29,17:53:00,1.16424,1.16435,1.16424,1.16434,25,0,0
2025.10.29,17:54:00,1.16437,1.16449,1.16437,1.16444,28,0,0
2025.10.29,17:55:00,1.16445,1.16451,1.16438,1.16444,31,0,1
2025.10.29,17:56:00,1.16445,1.16449,1.16441,1.16448,47,0,0
2025.10.29,17:57:00,1.16447,1.16494,1.16442,1.1649,84,0,0
2025.10.29,17:58:00,1.16488,1.16506,1.16488,1.16499,78,0,1
2025.10.29,17:59:00,1.165,1.16515,1.16499,1.16505,86,0,1
2025.10.29,18:00:00,1.16504,1.16531,1.16504,1.16513,120,0,1
2025.10.29,18:01:00,1.16514,1.16518,1.16499,1.16502,79,0,1
2025.10.29,18:02:00,1.16501,1.16519,1.16493,1.16515,69,0,1
2025.10.29,18:03:00,1.16508,1.16522,1.16495,1.16522,81,0,1
2025.10.29,18:04:00,1.16523,1.16524,1.16499,1.16504,101,0,1
2025.10.29,18:05:00,1.16505,1.16527,1.16505,1.16508,78,0,1
